item_id,original_title,release_year,genres,rating,rating_num,s_hat_5,prior_m,C
tt12908150,The Life of Chuck,2024,Drama/Fantasy,,0.0,3.58,3.58,80
tt1291584,Warrior,2011,Action/Drama,4.0,2378750.0,4.0,3.58,80
tt12921446,The Exorcist: Believer,2023,Thriller/Horror,2.0,1774190.0,2.0,3.58,80
tt1300854,Iron Man 3,2013,Action/Adventure/Science Fiction,3.1,12999870.0,3.1,3.58,80
tt1302006,The Irishman,2019,History/Drama/Crime,3.9,8117990.0,3.9,3.58,80
tt13055264,Extraña forma de vida,2023,Western/Romance/Drama,3.1,1482610.0,3.1,3.58,80
tt1305806,El secreto de sus ojos,2009,Thriller/Drama/Mystery/Romance,4.2,1554540.0,4.2,3.58,80
tt1306980,50/50,2011,Comedy/Drama,3.6,2503270.0,3.6,3.58,80
tt1311071,Kill Your Darlings,2013,Romance/Thriller/Drama,3.4,1069890.0,3.4,3.58,80
tt13139228,My Policeman,2022,Drama/Romance,3.2,1703230.0,3.2,3.58,80
tt13143964,Borat Subsequent Moviefilm,2020,Comedy,3.3,4170810.0,3.3,3.58,80
tt1318514,Rise of the Planet of the Apes,2011,Action/Thriller/Science Fiction/Drama,3.7,8114590.0,3.7,3.58,80
tt13186306,War of the Worlds,2025,Thriller/Science Fiction,1.0,1490930.0,1.0,3.58,80
tt13186482,Mufasa: The Lion King,2024,Family/Adventure/Animation,,0.0,3.58,3.58,80
tt13186604,Uglies,2024,Science Fiction/Adventure/Action,1.4,2302020.0,1.4,3.58,80
tt13204490,Petite Maman,2021,Drama/Fantasy/Family,4.1,1387300.0,4.1,3.58,80
tt1321510,In the Heights,2021,Romance/Drama,3.5,2346750.0,3.5,3.58,80
tt1323594,Despicable Me,2010,Animation/Comedy/Family,3.6,9569800.0,3.6,3.58,80
tt13238346,Past Lives,2023,Drama/Romance,4.2,14705490.0,4.2,3.58,80
tt13320622,The Lost City,2022,Adventure/Action/Comedy,2.7,3202620.0,2.7,3.58,80
tt1334260,Never Let Me Go,2010,Drama/Romance/Science Fiction,3.5,1460470.0,3.5,3.58,80
tt13345606,Evil Dead Rise,2023,Horror/Thriller,3.1,7057890.0,3.1,3.58,80
tt13375076,The Pope’s Exorcist,2023,Horror/Thriller,2.6,2002600.0,2.6,3.58,80
tt1340094,The Crow,2024,Action/Fantasy/Horror,2.2,1265260.0,2.2,3.58,80
tt13403046,Fresh,2022,Horror/Thriller,3.4,5977840.0,3.4,3.58,80
tt13405778,Insidious: The Red Door,2023,Horror/Thriller,2.4,2342680.0,2.4,3.58,80
tt1340800,Tinker Tailor Soldier Spy,2011,Drama/Mystery/Thriller,3.7,1400030.0,3.7,3.58,80
tt13429870,Robot Dreams,2023,Comedy/Science Fiction/Animation/Drama,4.1,2053680.0,4.1,3.58,80
tt1343092,The Great Gatsby,2013,Drama/Romance,3.4,11931350.0,3.4,3.58,80
tt13433802,A Quiet Place: Day One,2024,Horror/Thriller/Science Fiction,3.1,7992450.0,3.1,3.58,80
tt13452446,Damsel,2024,Action/Adventure/Fantasy,2.5,3686220.0,2.5,3.58,80
tt13453006,Red Rocket,2021,Comedy/Drama,3.8,1884510.0,3.8,3.58,80
tt1345836,The Dark Knight Rises,2012,Thriller/Crime/Drama/Action,3.8,16813290.0,3.8,3.58,80
tt13521006,Beau Is Afraid,2023,Comedy/Fantasy/Adventure,3.4,4866250.0,3.4,3.58,80
tt1355644,Passengers,2016,Drama/Science Fiction/Romance,2.9,5298360.0,2.9,3.58,80
tt13560574,X,2022,Horror/Thriller,,0.0,3.58,3.58,80
tt13623136,The Guardians of the Galaxy Holiday Special,2022,Science Fiction/Comedy/Adventure,3.3,2998380.0,3.3,3.58,80
tt13640696,See How They Run,2022,Comedy/Crime/Mystery,3.2,2562990.0,3.2,3.58,80
tt13648224,We’re All Going to the World’s Fair,2021,Horror/Drama,3.1,1238090.0,3.1,3.58,80
tt13651794,May December,2023,Drama,3.7,5980100.0,3.7,3.58,80
tt13654226,The Gorge,2025,Romance/Science Fiction/Thriller,2.9,3703260.0,2.9,3.58,80
tt1365519,Tomb Raider,2018,Action/Fantasy/Adventure,2.7,2009680.0,2.7,3.58,80
tt13669038,Women Talking,2022,Drama,3.8,1848570.0,3.8,3.58,80
tt1371111,Cloud Atlas,2012,Drama/Science Fiction,3.5,1736240.0,3.5,3.58,80
tt1375666,Inception,2010,Action/Adventure/Science Fiction,4.2,32333460.0,4.2,3.58,80
tt13833688,The Whale,2022,Drama,3.7,10034590.0,3.7,3.58,80
tt13841850,Men,2022,Fantasy/Horror/Thriller,2.8,3165340.0,2.8,3.58,80
tt1386588,The Other Guys,2010,Comedy/Crime/Action,3.3,3302100.0,3.3,3.58,80
tt1386697,Suicide Squad,2016,Action/Adventure/Fantasy,2.2,13738530.0,2.2,3.58,80
tt1389072,Downsizing,2017,Comedy/Drama/Science Fiction,2.4,1859990.0,2.4,3.58,80
tt1392170,The Hunger Games,2012,Action/Science Fiction/Thriller/Adventure,3.8,23253340.0,3.8,3.58,80
tt1392190,Mad Max: Fury Road,2015,Science Fiction/Adventure/Action,4.2,18527250.0,4.2,3.58,80
tt1392214,Prisoners,2013,Thriller/Crime/Drama,4.3,17374320.0,4.3,3.58,80
tt13957560,Dumb Money,2023,Drama/Comedy/History,3.3,2136920.0,3.3,3.58,80
tt13964390,Sous la Seine,2024,Action/Horror,2.1,1894720.0,2.1,3.58,80
tt1396484,It,2017,Thriller/Horror,,0.0,3.58,3.58,80
tt1398426,Straight Outta Compton,2015,Drama/History/Music,3.8,3172280.0,3.8,3.58,80
tt1399103,Transformers: Dark of the Moon,2011,Adventure/Action/Science Fiction,2.7,3367670.0,2.7,3.58,80
tt1403865,True Grit,2010,Western/Adventure/Drama,3.8,3173410.0,3.8,3.58,80
tt1403981,Remember Me,2010,Romance/Drama,3.2,1777850.0,3.2,3.58,80
tt1408101,Star Trek Into Darkness,2013,Science Fiction/Adventure/Action,3.4,2671750.0,3.4,3.58,80
tt14088510,Tarot,2024,Horror,2.0,2248890.0,2.0,3.58,80
tt1409024,Men in Black 3,2012,Comedy/Action/Science Fiction,3.2,3629900.0,3.2,3.58,80
tt14109724,Ticket to Paradise,2022,Romance/Comedy/Drama,2.7,1721640.0,2.7,3.58,80
tt1411238,No Strings Attached,2011,Romance/Comedy,2.8,2179450.0,2.8,3.58,80
tt14128670,Kimi,2022,Mystery/Thriller/Crime,3.1,1403670.0,3.1,3.58,80
tt14138650,The Pale Blue Eye,2022,Mystery/Thriller/Horror/Crime,,0.0,3.58,3.58,80
tt14205554,KPop Demon Hunters,2025,Fantasy/Comedy/Music/Animation,3.6,10529720.0,3.6,3.58,80
tt14208870,The Fabelmans,2022,Drama,4.0,5424590.0,4.0,3.58,80
tt14230388,Asteroid City,2023,Drama/Comedy,3.5,9821850.0,3.5,3.58,80
tt14230458,Poor Things,2023,Romance/Science Fiction/Comedy,4.0,22125090.0,4.0,3.58,80
tt14253846,Speak No Evil,2022,Horror/Thriller/Drama,3.4,2070860.0,3.4,3.58,80
tt14257582,Wolfs,2024,Comedy/Action/Crime,3.1,1690230.0,3.1,3.58,80
tt14260836,Better Man,2024,Music/Drama,3.8,2545240.0,3.8,3.58,80
tt1430132,The Wolverine,2013,Action/Science Fiction/Adventure,3.0,4859600.0,3.0,3.58,80
tt1431045,Deadpool,2016,Action/Adventure/Comedy,3.7,23213960.0,3.7,3.58,80
tt14331144,劇場版 呪術廻戦 0,2021,Action/Animation/Fantasy,3.9,2485310.0,3.9,3.58,80
tt1436562,Rio,2011,Comedy/Family/Adventure/Animation,3.4,5045580.0,3.4,3.58,80
tt14376344,Cha Cha Real Smooth,2022,Romance/Drama/Comedy,3.8,1695890.0,3.8,3.58,80
tt1440292,Submarine,2010,Drama/Comedy/Romance,3.9,2985880.0,3.9,3.58,80
tt14403178,BEEF,2023,Comedy/Drama,4.2,3272810.0,4.2,3.58,80
tt14407336,La Bête,2023,Drama/Romance/Science Fiction,3.7,898150.0,3.7,3.58,80
tt14444726,TÁR,2022,Music/Drama,3.9,5768020.0,3.9,3.58,80
tt1446192,Rise of the Guardians,2012,Fantasy/Family/Animation,,0.0,3.58,3.58,80
tt1448754,Thanksgiving,2023,Mystery/Horror,2.9,3349200.0,2.9,3.58,80
tt14509110,No One Will Save You,2023,Science Fiction/Horror,3.0,2275670.0,3.0,3.58,80
tt14513804,Captain America: Brave New World,2025,Science Fiction/Thriller/Action,2.4,7067790.0,2.4,3.58,80
tt1453405,Monsters University,2013,Animation/Family,3.5,8996720.0,3.5,3.58,80
tt14539740,Godzilla × Kong: The New Empire,2024,Science Fiction/Adventure/Action,2.7,4110940.0,2.7,3.58,80
tt1454468,Gravity,2013,Thriller/Science Fiction/Drama,3.5,7793370.0,3.5,3.58,80
